"","Country.name","Period","Smoking-related cancers","Sex-specific cancers","Other cancers","IHD and Stroke","Rest of circulatory diseases","Mental and nervous system","Alcohol-attributable causes","Infectious (respiratory) diseases","Non-infectious respiratory disases","External causes","Rest of causes","NA"
"1","Austria","2010-2015",0.0135312100171766,-0.234627751790584,-0.00149941159007022,0.0441423477877092,0.0651271925250536,0.0858285061353453,0.0373782596606712,-0.0380603788416611,-0.00539359207206211,0.687491099137922,0.346082519030499,NA
"2","Belgium","2010-2015",0.0042120967349205,-0.221097840089107,0.0443239339971006,0.0203979696613826,0.0405237485120437,0.0382565078834164,0.0275810691818327,-0.103462540979107,-0.02769963670263,0.844217659285464,0.332747032514684,NA
"3","Belarus","2010-2015",-0.450093280552997,-0.123866137623777,0.00163962596152999,0,0,0,0.235279347613369,0.134377401863627,0,1.20266304273825,0,NA
"4","Bulgaria","2010-2015",0.0254155178900598,-0.140617928323029,0.0435336170021216,0.0714553271429187,0.101744097568022,0.0224227629818364,0.00173445946848231,0.0116202370210995,0.0124174266631885,0.479392289854909,0.370882192730391,NA
"5","Czech Republic","2010-2015",0.0266667553009421,-0.135532199273196,0.0245874279687479,0.0654926980415619,0.079191294443657,0.0314687786795532,0.00838158000193162,-0.0131145567371951,-5.58270455857236e-05,0.658032775669788,0.254881272949795,NA
"6","Denmark","2010-2015",-0.0756803369556145,-0.446631132866785,0.00304539365737564,-0.0331654770752215,0.0104359231279679,0.0761971430092045,0.178618747582389,-0.0739563372715243,-0.0179632715271536,0.927704965001629,0.451394383317733,NA
"7","Estonia","2010-2015",-0.0493227689715986,-0.127780063135776,0.0229475858413129,-0.0385907049376588,0.0689060229338378,0.0067833762378857,0.134451215565383,0.0748214907749168,-0.0201058349862294,0.884838070632886,0.0430516100450408,NA
"8","Finland","2010-2015",0.0105230070689705,-0.149080166328508,0.0237550437411153,0.0407442075720404,0.116047856872903,0.00623174491136395,0.0140225714147771,-0.0313800754333537,-0.0109888375042553,0.741378472622385,0.238746175062562,NA
"9","Hungary","2010-2015",-0.00312858102694161,NA,0.0455881612029034,-0.00629611210225503,0.110067209446786,0.032089484006488,0.0220525842343585,-0.0492230357671206,-0.0201116828530956,0.687207521580937,0.351883325054539,-0.170128873776599
"10","France","2010-2015",0.115650381078034,-0.17660656954288,0.0726812801168755,0.0230943434988631,0.016876403071147,0.0405730199887806,0.0410219706349112,-0.0343410824914129,-0.0144721582827766,0.566071845665526,0.349450566262931,NA
"11","Germany","2010-2015",0.0696722034882281,-0.228794161363886,0.053418154018273,0.0444491913983058,0.120163031429821,0.0508829655542146,0.0631587880643947,-0.0538537629710863,-0.0106331501415177,0.522556634981912,0.36898010554134,NA
"12","Greece","2010-2015",0.0344598087825297,-0.0832865798063868,0.0146036575582302,0.0593871997118432,0.188798703092895,0.023683676879029,0.0137859540126185,0.290508876890846,0.00625849752772407,0.387187744673522,0.0646124606771488,NA
"13","Italy","2010-2015",0.0621414262050504,-0.321901972259966,0.0931770690098796,0.095274239080544,0.126292270354835,0.0489086444966946,0.00552038229544092,-0.090755195293044,-0.00967447592962495,0.658259468720775,0.332758143319416,NA
"14","Ireland","2010-2015",0.0274409175989067,-0.304777057767721,0.0627524526623025,0.0770153648258746,0.0678643452244595,0.00559192505695943,0.000919559689255642,-0.039099955558498,-0.0211538755357521,0.919025838661312,0.204420485142901,NA
"15","Netherlands","2010-2015",-0.278131241786093,-0.950479881257898,0.123212012885663,0.13604165052724,0.106511930530365,0.122795813344463,0.0547088222832347,-0.383670893085665,-0.0561606819424322,1.39545244386412,0.729720024637003,NA
"16","Norway","2010-2015",-0.0287648297097655,-0.369402058078061,0.0477343258391238,0.0663291903232233,0.062490142772251,0.0614128288457042,0.0306499071737178,-0.0751484049438094,-0.00940527204191126,0.865953570775093,0.348150599044434,NA
"17","Russia","2010-2015",-0.121391305230131,-0.0565884605664092,0.00777828811966674,-0.239643835381216,0.0725831059471893,0.0237806703238671,0.0677542462895664,0.148878919979428,-0.0575130376677328,0.974726626318535,0.179634781867236,NA
"18","Latvia","2010-2015",-0.0962189509655398,-0.145082985857256,0.0412481167887143,-0.134325173828062,0.14684265268891,0.027097636312757,0.100170017741891,0.0923884853933379,-0.0273057016157553,0.824662237910235,0.170523665430768,NA
"19","Lithuania","2010-2015",-0.0586707749512148,-0.115305563138758,0.0135162600057306,-0.0343622303572826,0.0560753452043409,0.0235044622132437,0.111509236866864,0.0627229423893069,-0.049920196601905,0.837195731696678,0.153734786672996,NA
"20","Poland","2010-2015",-0.0455607416722779,-0.108218720736136,0.0221467545643409,0.0514452674630321,0.0861905257208531,0.0201222351576679,0.0262623762403163,-0.0492428707742804,7.37060073447884e-05,0.645099118269223,0.351682349759915,NA
"21","Portugal","2010-2015",0.168493536636804,-0.158247040130454,0.0763753350111686,0.080136889036528,0.035495722155224,0.0179171672372317,0.00718919835233556,-0.0431980755682516,-0.00938822369424252,0.378377322336827,0.44684816862683,NA
"22","Slovakia","2010-2015",-0.0281812888415802,-0.116770513652467,0.0238812996704024,0.0602414902089996,0.069453177380214,0.0413052921427668,0.00866633547147423,-0.04576366965495,-0.00386746322159862,0.618370527827196,0.372664812669542,NA
"23","Slovenia","2010-2015",0.0789315657814523,-0.20138137810008,0.00506691754666692,0.0890066701523241,0.0566364177957447,0.0120858968863984,0.0494422387098644,-0.0895521402394435,-0.00456162425389526,0.742760598296113,0.261564837424855,NA
"24","Spain","2010-2015",0.1926307571571,-0.221410594978634,0.0917850317415982,0.126317392638039,0.114958911987155,0.053028709390141,0.00479732423417724,-0.102248272907092,0.00399997978712358,0.420665879540949,0.315474881409442,NA
"25","Sweden","2010-2015",-0.0217035855997903,-0.396256975484229,0.0485314001647631,0.0250510334973886,0.0677053451716614,0.0725389472381128,0.0221426795775769,-0.0369057045461514,-0.0096806288321356,0.975853149414264,0.25272433939854,NA
"26","Switzerland","2010-2015",0.0600129540438493,-0.27672537667906,0.0938659556044862,0.0392222437981712,0.0990690473594649,0.0544408720318711,0.0179744950535931,-0.0410885341319087,-0.0107121299953206,0.653788979738637,0.310151493176216,NA
"27","Ukraine","2010-2015",-0.0602372111662397,-0.0779898627793455,0.0236669875353224,-0.248149352647107,0.0736453487837713,0.0555270754145025,0.0844453828843935,0.224598317787092,-0.0429238982583635,0.725405597456352,0.242011614989621,NA
"28","United Kingdom","2010-2015",-0.0108655171463333,-0.3329543578494,0.0279289552604884,0.110274588676083,0.0741696026744755,0.0620401916952061,0.0135354991642768,-0.048083794193266,-0.0302999928980547,0.780736314458168,0.353518510158356,NA
