"","Period","Region","Measure","Gap"
"1","2000-2004","Nordic","e0",5.15556291634205
"2","2005-2009","Nordic","e0",4.88383677976182
"3","2010-2015","Nordic","e0",4.36078670354125
"4","2000-2004","Western","e0",5.80987375781596
"5","2005-2009","Western","e0",5.31767601072305
"6","2010-2015","Western","e0",4.86110920007116
"7","2000-2004","Southern","e0",6.25891626867015
"8","2005-2009","Southern","e0",5.80339054992126
"9","2010-2015","Southern","e0",5.22339260906089
"10","2000-2004","CEE","e0",7.93379112984525
"11","2005-2009","CEE","e0",7.92285010372844
"12","2010-2015","CEE","e0",7.34917473043738
"13","2000-2004","FSR","e0",12.7951672547464
"14","2005-2009","FSR","e0",12.3647522489443
"15","2010-2015","FSR","e0",11.1065115323309
"16","2000-2004","Nordic","SD",1.25054357213655
"17","2005-2009","Nordic","SD",1.26254965731562
"18","2010-2015","Nordic","SD",1.16134164492972
"19","2000-2004","Western","SD",1.41739578984075
"20","2005-2009","Western","SD",1.35448606840194
"21","2010-2015","Western","SD",1.30513410571634
"22","2000-2004","Southern","SD",1.93146962809985
"23","2005-2009","Southern","SD",1.76008597894765
"24","2010-2015","Southern","SD",1.44384773153895
"25","2000-2004","CEE","SD",1.8162050429236
"26","2005-2009","CEE","SD",1.88292956010845
"27","2010-2015","CEE","SD",1.8225100666636
"28","2000-2004","FSR","SD",1.66478629974854
"29","2005-2009","FSR","SD",1.8257516299801
"30","2010-2015","FSR","SD",2.01739563754055
"31","2000-2004","Europe","e0",8.50881987845281
"32","2005-2009","Europe","e0",8.0642914414383
"33","2010-2015","Europe","e0",6.83970090793012
"34","2000-2004","Europe","SD",2.43683461373496
"35","2005-2009","Europe","SD",2.60657944690867
"36","2010-2015","Europe","SD",2.33258931227842
